section,key,value
wsl_system_full_run,mem_used_mb_p99,603.59
wsl_system_full_run,mem_used_mb_max,603.59
wsl_system_main_window,cpu_percent_sample_count,244
wsl_system_main_window,cpu_percent_mean,2.6611065573770496
wsl_system_main_window,cpu_percent_median,2.255
wsl_system_main_window,cpu_percent_p95,5.5685
wsl_system_main_window,cpu_percent_p99,6.145399999999999
wsl_system_main_window,cpu_percent_max,8.5
wsl_system_main_window,mem_used_mb_sample_count,244
wsl_system_main_window,mem_used_mb_mean,599.7843032786885
wsl_system_main_window,mem_used_mb_median,600.66
wsl_system_main_window,mem_used_mb_p95,603.56
wsl_system_main_window,mem_used_mb_p99,603.59
wsl_system_main_window,mem_used_mb_max,603.59
pi_system_full_run,cpu_percent_sample_count,501
pi_system_full_run,cpu_percent_mean,8.120479041916168
pi_system_full_run,cpu_percent_median,8.16
pi_system_full_run,cpu_percent_p95,9.37
pi_system_full_run,cpu_percent_p99,10.03
pi_system_full_run,cpu_percent_max,10.5
pi_system_full_run,mem_used_mb_sample_count,501
pi_system_full_run,mem_used_mb_mean,165.20670658682633
pi_system_full_run,mem_used_mb_median,165.16
pi_system_full_run,mem_used_mb_p95,165.65
pi_system_full_run,mem_used_mb_p99,165.73
pi_system_full_run,mem_used_mb_max,165.75
pi_system_full_run,wifi_link_quality_sample_count,501
pi_system_full_run,wifi_link_quality_mean,69.72654690618762
pi_system_full_run,wifi_link_quality_median,70.0
pi_system_full_run,wifi_link_quality_p95,70.0
pi_system_full_run,wifi_link_quality_p99,70.0
pi_system_full_run,wifi_link_quality_max,70.0
pi_system_full_run,wifi_signal_dbm_sample_count,501
pi_system_full_run,wifi_signal_dbm_mean,-29.518962075848304
pi_system_full_run,wifi_signal_dbm_median,-27.0
pi_system_full_run,wifi_signal_dbm_p95,-24.0
pi_system_full_run,wifi_signal_dbm_p99,-24.0
pi_system_full_run,wifi_signal_dbm_max,-23.0
pi_system_main_window,cpu_percent_sample_count,238
pi_system_main_window,cpu_percent_mean,8.339621848739496
pi_system_main_window,cpu_percent_median,8.39
pi_system_main_window,cpu_percent_p95,9.642499999999997
pi_system_main_window,cpu_percent_p99,10.1571
pi_system_main_window,cpu_percent_max,10.5
pi_system_main_window,mem_used_mb_sample_count,238
pi_system_main_window,mem_used_mb_mean,165.07344537815126
pi_system_main_window,mem_used_mb_median,165.06
pi_system_main_window,mem_used_mb_p95,165.25
pi_system_main_window,mem_used_mb_p99,165.38
pi_system_main_window,mem_used_mb_max,165.41
pi_system_main_window,wifi_link_quality_sample_count,238
pi_system_main_window,wifi_link_quality_mean,70.0
pi_system_main_window,wifi_link_quality_median,70.0
pi_system_main_window,wifi_link_quality_p95,70.0
pi_system_main_window,wifi_link_quality_p99,70.0
pi_system_main_window,wifi_link_quality_max,70.0
pi_system_main_window,wifi_signal_dbm_sample_count,238
pi_system_main_window,wifi_signal_dbm_mean,-28.8781512605042
pi_system_main_window,wifi_signal_dbm_median,-26.5
pi_system_main_window,wifi_signal_dbm_p95,-24.0
pi_system_main_window,wifi_signal_dbm_p99,-24.0
pi_system_main_window,wifi_signal_dbm_max,-23.0
